staat,jahr,tote_p10k,biersteuer,alo,lpkopf_einkom,alk_alter,D82,D83,D84,D85,D86,D87,D88
VT,1986,2.01479,0.615325093,4.699999809,9.52813714043291,19.5,0,0,0,0,1,0,0
VT,1987,2.17153,0.596249998,3.599999905,9.56976154158294,21,0,0,0,0,0,1,0
VT,1988,2.31598,0.573869109,2.799999952,9.59748012847892,21,0,0,0,0,0,0,1
VA,1982,1.60503,0.758949876,7.699999809,9.5380803971426,21,1,0,0,0,0,0,0
VA,1983,1.6208,0.729357779,6.099999905,9.56796666963442,21,0,1,0,0,0,0,0
VA,1984,1.79737,0.698901057,5,9.6095589276015,21,0,0,1,0,0,0,0
VA,1985,1.71048,0.673728764,5.599999905,9.63711630085731,21,0,0,0,1,0,0,0
VA,1986,1.94305,0.656346738,5,9.67504102463834,21,0,0,0,0,1,0,0
VA,1987,1.72934,0.635999978,4.199999809,9.71026681487317,21,0,0,0,0,0,1,0
VA,1988,1.78055,0.612127006,3.900000095,9.74164773533057,21,0,0,0,0,0,0,1
WA,1982,1.74848,0.231758952,12.10000038,9.57098121074754,21,1,0,0,0,0,0,0
WA,1983,1.62137,0.231558487,11.19999981,9.58427376089476,21,0,1,0,0,0,0,0
WA,1984,1.71534,0.221889019,9.5,9.59955699824392,21,0,0,1,0,0,0,0
WA,1985,1.68746,0.213897243,8.100000381,9.6097845915241,21,0,0,0,1,0,0,0
WA,1986,1.57517,0.208378747,8.199999809,9.64054001244648,21,0,0,0,0,1,0,0
WA,1987,1.71882,0.201919004,7.599999905,9.65694742341552,21,0,0,0,0,0,1,0
WA,1988,1.67384,0.194339752,6.199999809,9.67121924509438,21,0,0,0,0,0,0,1
WV,1982,2.29475,0.476363957,13.89999962,9.28249450434175,18,1,0,0,0,0,0,0
WV,1983,2.16505,0.457790136,18,9.25453283623646,18.5,0,1,0,0,0,0,0
WV,1984,2.245,0.438673615,15,9.27254095695711,19,0,0,1,0,0,0,0
WV,1985,2.16942,0.422873914,13,9.27514365899767,19,0,0,0,1,0,0,0
WV,1986,2.29525,0.41196388,11.80000019,9.29546659083796,19.67000008,0,0,0,0,1,0,0
WV,1987,2.48287,0.399192989,10.80000019,9.30492301446213,21,0,0,0,0,0,1,0
WV,1988,2.45203,0.384208858,9.899999619,9.33207237087021,21,0,0,0,0,0,0,1
WI,1982,1.62242,0.173031017,10.69999981,9.48900214759905,18,1,0,0,0,0,0,0
WI,1983,1.52728,0.166284397,10.39999962,9.49486377457865,18,0,1,0,0,0,0,0
WI,1984,1.72617,0.15934065,7.300000191,9.53377669769167,18.5,0,0,1,0,0,0,0
WI,1985,1.55812,0.153601691,7.199999809,9.54340180412579,19,0,0,0,1,0,0,0
WI,1986,1.56178,0.149638802,7,9.57163825624065,19.67000008,0,0,0,0,1,0,0
WI,1987,1.658,0.144999996,6.099999905,9.59696239228287,21,0,0,0,0,0,1,0
WI,1988,1.6622,0.139557257,4.300000191,9.61188380301793,21,0,0,0,0,0,0,1
WY,1982,3.94118,0.053699285,5.800000191,9.58879312811119,19,1,0,0,0,0,0,0
WY,1983,3.35271,0.051605508,8.399999619,9.51595133354914,19,0,1,0,0,0,0,0
WY,1984,3.06043,0.04945055,6.300000191,9.50718364840835,19,0,0,1,0,0,0,0
WY,1985,2.98625,0.047669493,7.099999905,9.51748228283168,19,0,0,0,1,0,0,0
WY,1986,3.31361,0.046439629,9,9.48242147240765,19,0,0,0,0,1,0,0
WY,1987,2.63265,0.045000002,8.600000381,9.45085221745148,19,0,0,0,0,0,1,0
WY,1988,3.23591,0.043310877,6.300000191,9.48022787348643,19.5,0,0,0,0,0,0,1
